rem,x0,y0,size,step,height,feeder_height,offset
rem,x,y,angle,value,package,,
,,,,,,,
line0,210,167,12,2,0.5,0.5,0
C41,38.10,27.50,0,0.01uF,SMD_0402,,
,,,,,,,
line0,120,5,58,2,0.5,0.5,30
line1,130,5,57,,,,
C37,35.00,26.90,0,0.1uF,SMD_0402,,
C59,31.10,12.00,0,0.1uF,SMD_0402,,
C60,29.50,18.60,0,0.1uF,SMD_0402,,
C27,19.50,19.10,0,0.1uF,SMD_0402,,
C29,18.55,3.70,0,0.1uF,SMD_0402,,
C33,16.20,3.70,0,0.1uF,SMD_0402,,
C55,17.20,19.10,0,0.1uF,SMD_0402,,
,,,,,,,
line0,180,103,48,2,0.5,0.5,6
BLM1,28.50,6.30,0,0R,SMD_0402,,
BLM5,14.80,20.20,0,0R,SMD_0402,,
,,,,,,,
line0,100,167,12,2,0.5,0.5,0
R24,31.70,27.60,0,100k,SMD_0402,,
,,,,,,,
line0,120,137,30,2,0.5,0.5,0
R22,25.80,25.90,0,10k,SMD_0402,,
,,,,,,,
line0,140,167,12,2,0.5,0.5,0
C40,36.20,14.90,0,12pF,SMD_0402,,
,,,,,,,
line0,170,103,48,2,0.5,0.5,0
C22,22.50,3.70,0,1uF,SMD_0402,,
C34,34.60,19.80,0,1uF,SMD_0402,,
C26,19.50,20.20,0,1uF,SMD_0402,,
C32,16.20,2.70,0,1uF,SMD_0402,,
C52,26.20,27.70,0,1uF,SMD_0402,,
C54,17.20,20.20,0,1uF,SMD_0402,,
,,,,,,,
line0,220,167,12,2,0.5,0.5,0
R23,30.60,22.40,0,47k,SMD_0402,,
